accelZ,accelY,accelZ
9.748539999999999983e-01,1.567379999999999884e-01,-7.543900000000000605e-02
9.606930000000000192e-01,1.745609999999999939e-01,-7.763699999999999768e-02
9.763180000000000192e-01,1.894530000000000103e-01,-6.982399999999999718e-02
9.614260000000000028e-01,1.828609999999999958e-01,-7.299799999999999345e-02
9.675289999999999724e-01,1.894530000000000103e-01,-7.861300000000000232e-02
9.728999999999999870e-01,1.755369999999999986e-01,-6.225599999999999884e-02
9.631349999999999634e-01,1.848140000000000061e-01,-6.835900000000000309e-02
9.728999999999999870e-01,1.875000000000000000e-01,-6.933599999999999486e-02
9.790039999999999853e-01,1.691890000000000061e-01,-6.811499999999999500e-02
9.636230000000000073e-01,1.765140000000000042e-01,-7.299799999999999345e-02
9.768069999999999808e-01,1.728520000000000056e-01,-6.884800000000000642e-02
9.726559999999999651e-01,1.677250000000000130e-01,-7.080100000000000282e-02
9.733889999999999487e-01,1.750490000000000101e-01,-6.982399999999999718e-02
9.672849999999999504e-01,1.708979999999999944e-01,-7.275399999999999923e-02
9.682619999999999560e-01,1.738280000000000103e-01,-7.080100000000000282e-02
9.685059999999999780e-01,1.860350000000000059e-01,-7.446300000000000141e-02
9.728999999999999870e-01,1.833500000000000130e-01,-7.006800000000000528e-02
9.643549999999999622e-01,1.840819999999999956e-01,-7.299799999999999345e-02
9.704589999999999606e-01,1.872560000000000058e-01,-7.177699999999999358e-02
9.682619999999999560e-01,1.860350000000000059e-01,-7.104499999999999704e-02
9.731450000000000378e-01,1.899409999999999987e-01,-7.055699999999999472e-02
9.704589999999999606e-01,1.933590000000000031e-01,-7.983400000000000218e-02
9.606930000000000192e-01,1.889649999999999941e-01,-7.153299999999999936e-02
9.655759999999999899e-01,1.960449999999999970e-01,-7.641599999999999782e-02
9.719240000000000101e-01,1.943360000000000087e-01,-7.006800000000000528e-02
9.614260000000000028e-01,1.955570000000000086e-01,-7.299799999999999345e-02
9.697270000000000056e-01,2.019040000000000001e-01,-6.005900000000000127e-02
9.677729999999999944e-01,1.945800000000000030e-01,-6.543000000000000205e-02
9.667970000000000175e-01,1.945800000000000030e-01,-6.469700000000000450e-02
9.699710000000000276e-01,1.962889999999999913e-01,-6.347700000000000564e-02
9.680180000000000451e-01,1.872560000000000058e-01,-5.737300000000000039e-02
9.707029999999999825e-01,1.877439999999999942e-01,-5.371100000000000180e-02
9.687500000000000000e-01,1.887209999999999999e-01,-5.419899999999999718e-02
9.636230000000000073e-01,1.889649999999999941e-01,-5.371100000000000180e-02
9.660640000000000338e-01,1.857910000000000117e-01,-4.980500000000000205e-02
9.748539999999999983e-01,1.967770000000000075e-01,-4.540999999999999898e-02
9.650879999999999459e-01,1.911619999999999986e-01,-5.127000000000000307e-02
9.719240000000000101e-01,1.948239999999999972e-01,-4.663099999999999884e-02
9.677729999999999944e-01,1.945800000000000030e-01,-5.127000000000000307e-02
9.646000000000000130e-01,1.906740000000000101e-01,-5.249000000000000193e-02
9.653319999999999679e-01,1.984859999999999958e-01,-5.419899999999999718e-02
9.660640000000000338e-01,1.992190000000000072e-01,-4.785199999999999870e-02
9.660640000000000338e-01,2.026370000000000116e-01,-4.809599999999999986e-02
9.672849999999999504e-01,1.979980000000000073e-01,-4.296900000000000025e-02
9.667970000000000175e-01,1.979980000000000073e-01,-4.296900000000000025e-02
9.692380000000000440e-01,1.989750000000000130e-01,-3.784200000000000064e-02
9.704589999999999606e-01,1.940919999999999868e-01,-4.223600000000000271e-02
9.687500000000000000e-01,1.955570000000000086e-01,-3.637699999999999961e-02
9.680180000000000451e-01,1.992190000000000072e-01,-3.808600000000000180e-02
9.667970000000000175e-01,1.911619999999999986e-01,-4.174800000000000039e-02
9.677729999999999944e-01,1.977540000000000131e-01,-3.662100000000000077e-02
9.648440000000000349e-01,1.989750000000000130e-01,-4.150399999999999923e-02
9.726559999999999651e-01,1.992190000000000072e-01,-3.198199999999999654e-02
9.682619999999999560e-01,1.921390000000000042e-01,-4.711900000000000116e-02
9.765620000000000411e-01,2.038570000000000104e-01,-4.443400000000000127e-02
9.641110000000000513e-01,1.931150000000000089e-01,-4.272499999999999909e-02
9.677729999999999944e-01,2.021479999999999944e-01,-4.467800000000000243e-02
9.624019999999999797e-01,1.938479999999999925e-01,-4.418899999999999911e-02
9.707029999999999825e-01,1.977540000000000131e-01,-4.418899999999999911e-02
