TOTAL_TIME,0m19s
TOTAL_FRAMES,1211
SELECTED_FRAMES,1211
NO_OF_JOINTS,7
FREQUENCY,64.0
DESCRIPTION,east
TIME_STAMP,Jul 17, 2009

Time,Frame,Pelvis_gyroX_47,Pelvis_gyroY_47,Pelvis_gyroZ_47,RFEP_gyroX_70,RFEP_gyroY_70,RFEP_gyroZ_70,RFEO_gyroX_44,RFEO_gyroY_44,RFEO_gyroZ_44,RTIO_gyroX_55,RTIO_gyroY_55,RTIO_gyroZ_55,LFEP_gyroX_30,LFEP_gyroY_30,LFEP_gyroZ_30,LFEO_gyroX_28,LFEO_gyroY_28,LFEO_gyroZ_28,LTIO_gyroX_25,LTIO_gyroY_25,LTIO_gyroZ_25
0.0,0,0.25,0.09375,0.0,-0.5625,0.5625,0.28125,0.125,-0.4375,0.0625,-0.25,-0.28125,0.125,0.125,0.1875,-0.03125,0.0,0.25,-0.0625,-0.0625,-0.03125,-0.09375
0.015625,1,0.25,0.09375,0.0,-0.5625,0.5625,0.28125,0.125,-0.4375,0.0625,-0.25,-0.28125,0.125,0.125,0.1875,-0.03125,0.0,0.25,-0.0625,-0.0625,-0.03125,-0.09375
0.03125,2,0.25,0.09375,0.0,-0.5625,0.5625,0.28125,0.125,-0.4375,0.0625,-0.25,-0.28125,0.125,0.125,0.1875,-0.03125,0.0,0.25,-0.0625,-0.0625,-0.03125,-0.09375
0.046875,3,-0.53125,0.09375,-0.0625,-0.8125,0.78125,0.375,-0.09375,-0.5625,0.09375,-0.6875,0.0,0.46875,0.0,0.25,-0.03125,0.03125,0.25,-0.0625,-0.0625,0.0,-0.09375
0.0625,4,-0.03125,0.15625,-0.03125,-0.75,0.6875,0.3125,0.0625,-0.53125,0.0625,-0.53125,-0.15625,0.34375,0.0625,0.15625,0.0,0.0,0.25,-0.0625,-0.0625,-0.03125,-0.0625
0.078125,5,0.25,0.09375,0.0,-0.5625,0.5625,0.28125,0.125,-0.4375,0.0625,-0.25,-0.28125,0.125,0.125,0.1875,-0.03125,0.0,0.25,-0.0625,-0.0625,-0.03125,-0.09375
0.09375,6,0.28125,0.09375,-0.03125,-0.28125,0.3125,0.15625,0.15625,-0.34375,0.03125,0.03125,-0.34375,-0.125,0.09375,0.21875,-0.03125,0.0625,0.28125,-0.0625,-0.03125,0.0,-0.0625
0.109375,7,0.3125,0.09375,-0.03125,0.09375,0.03125,0.03125,0.1875,-0.28125,0.03125,0.09375,-0.28125,-0.1875,0.09375,0.1875,-0.03125,0.03125,0.28125,-0.0625,-0.03125,0.0,-0.0625
0.125,8,0.3125,0.09375,-0.03125,0.1875,-0.0625,-0.0625,0.1875,-0.21875,0.03125,0.09375,-0.21875,-0.1875,0.15625,0.21875,-0.0625,0.0625,0.28125,-0.09375,-0.03125,-0.03125,-0.03125
0.140625,9,0.34375,0.03125,-0.03125,0.15625,-0.03125,-0.09375,0.1875,-0.1875,0.0,0.09375,-0.15625,-0.1875,0.125,0.25,-0.03125,0.03125,0.3125,-0.09375,-0.03125,0.0,-0.03125
0.15625,10,0.3125,0.0,0.0,0.09375,0.0,-0.125,0.15625,-0.125,0.0,0.0625,-0.125,-0.1875,0.09375,0.25,-0.03125,0.1875,0.375,-0.09375,0.0625,-0.03125,0.0
0.171875,11,0.34375,-0.03125,0.0,0.0625,0.03125,-0.125,0.15625,-0.09375,-0.03125,0.0625,-0.09375,-0.15625,0.125,0.25,-0.0625,0.4375,0.40625,-0.0625,0.125,0.0,0.0
0.1875,12,0.375,0.0,0.0,0.0625,0.03125,-0.125,0.15625,-0.03125,-0.0625,0.0625,0.0,-0.15625,0.25,0.28125,-0.0625,0.40625,0.375,-0.09375,0.125,0.03125,0.0
0.203125,13,0.40625,-0.03125,0.0,0.03125,0.09375,-0.15625,0.15625,0.03125,-0.09375,0.03125,0.03125,-0.15625,0.28125,0.375,-0.09375,0.03125,0.34375,-0.125,0.03125,0.03125,-0.03125
0.21875,14,0.375,-0.03125,0.0,0.0,0.09375,-0.15625,0.15625,0.09375,-0.125,0.0,0.09375,-0.1875,0.1875,0.3125,-0.0625,-0.03125,0.34375,-0.15625,0.03125,0.0,-0.03125
0.234375,15,0.375,-0.03125,-0.03125,0.03125,0.09375,-0.1875,0.1875,0.125,-0.125,0.03125,0.1875,-0.1875,0.15625,0.3125,-0.03125,0.125,0.3125,-0.125,0.0,0.0,-0.03125
0.25,16,0.40625,-0.0625,0.0,0.0625,0.15625,-0.25,0.21875,0.21875,-0.125,0.0625,0.25,-0.25,0.125,0.28125,-0.0625,0.0,0.34375,-0.125,0.0,0.0,-0.03125
0.265625,17,0.40625,-0.0625,0.0,0.09375,0.15625,-0.28125,0.28125,0.28125,-0.15625,0.09375,0.3125,-0.28125,0.125,0.28125,-0.0625,-0.03125,0.34375,-0.125,0.0,0.0,-0.03125
0.28125,18,0.4375,-0.0625,0.0,0.1875,0.25,-0.34375,0.375,0.375,-0.15625,0.15625,0.40625,-0.34375,0.125,0.3125,-0.0625,0.0625,0.34375,-0.125,0.0,0.03125,-0.03125
0.296875,19,0.46875,-0.0625,0.0,0.1875,0.28125,-0.34375,0.375,0.40625,-0.15625,0.1875,0.4375,-0.375,0.15625,0.3125,-0.0625,0.0625,0.375,-0.125,0.0,0.03125,-0.0625
0.3125,20,0.46875,-0.0625,0.0,0.78125,0.34375,-0.625,1.09375,0.53125,0.09375,0.75,0.84375,-0.75,0.1875,0.375,-0.0625,0.125,0.375,-0.125,0.03125,0.0,-0.03125
