nodeID,seqNumber,status,gyroTick,gyroX,gyroY,gyroZ,accelTick,accelX,accelY,accelZ,magTick,magX,magY,magZ,currentTime
2,62,0,16819,3,-8,-31,17406,3920,-6912,-1008,17089,50,-830,-301,1389634531.358851
3,62,0,14395,5,-25,-27,14347,4016,-6512,1680,12850,128,-724,-142,1389634531.358871
2,63,0,18808,5,-2,-29,19284,3824,-6976,-1072,17089,50,-830,-301,1389634531.358873
3,63,0,16395,3,-16,-34,16223,3984,-6464,1648,15429,127,-723,-141,1389634531.358875
2,64,0,20798,4,-3,-28,21163,3776,-7008,-1056,19651,50,-833,-302,1389634531.358876
3,64,0,18394,3,-10,-27,18100,4016,-6512,1696,18007,125,-722,-140,1389634531.358878
2,65,0,22787,11,-6,-41,23041,3808,-6896,-1072,22211,50,-833,-299,1389634531.358880
3,65,0,20394,-8,-11,-34,19977,3984,-6544,1728,18007,125,-722,-140,1389634531.358881
2,66,0,24777,8,-4,-34,24920,3856,-6896,-1072,24773,51,-831,-302,1389634531.358883
3,66,0,21393,1,-15,-28,21853,4000,-6528,1696,20585,127,-727,-140,1389634531.358885
2,67,0,26766,7,-4,-36,26799,3824,-6896,-1104,24773,51,-831,-302,1389634531.358887
3,67,0,23393,5,-3,-19,23729,3952,-6560,1632,23165,126,-726,-140,1389634531.358888
2,68,0,28756,7,-10,-31,28678,3840,-6992,-1184,27334,51,-832,-301,1389634531.358890
3,68,0,25392,-1,-9,-21,25606,4000,-6512,1680,25743,125,-724,-141,1389634531.358892
2,69,0,30745,7,-12,-32,30556,3808,-6960,-1120,29896,51,-832,-302,1389634531.358893
3,69,0,27391,-3,-9,-21,27481,3984,-6480,1680,25743,125,-724,-141,1389634531.358895
2,70,0,32735,7,-9,-31,32435,3888,-6928,-1072,32458,49,-833,-301,1389634531.358897
3,70,0,29391,-10,-13,-21,29358,4032,-6560,1664,28322,127,-724,-140,1389634531.358899
2,71,0,33729,3,-6,-37,34313,3872,-6992,-1072,32458,49,-833,-301,1389634531.358900
3,71,0,31390,-8,-16,-20,31234,4000,-6496,1680,30901,125,-724,-140,1389634531.358902
2,72,0,35719,5,-8,-32,36192,3840,-6976,-1072,35021,49,-833,-299,1389634531.358904
3,72,0,33389,-7,-11,-28,33110,3968,-6496,1680,33480,125,-726,-139,1389634531.358905
2,73,0,37708,4,-9,-26,38071,3856,-6928,-1072,37582,51,-835,-303,1389634531.358907
3,73,0,35389,-3,4,-15,34987,4016,-6576,1664,33480,125,-726,-139,1389634531.358909
2,74,0,39698,4,-10,-33,39950,3856,-6976,-1104,40142,48,-832,-302,1389634531.358910
3,74,0,36388,-2,-8,-5,36863,3984,-6512,1728,36058,125,-721,-139,1389634531.358912
2,75,0,41687,0,-7,-33,41829,3792,-6944,-1104,40142,48,-832,-302,1389634531.358914
3,75,0,38388,0,-13,-28,38739,3968,-6496,1712,38637,125,-724,-142,1389634531.358915
2,76,0,43677,6,-12,-44,43708,3856,-6960,-1072,42702,49,-831,-302,1389634531.358917
3,76,0,40387,-10,-9,-27,40615,3984,-6496,1696,38637,125,-724,-142,1389634531.358919
2,77,0,45666,2,-5,-29,45586,3792,-6928,-1088,45263,51,-833,-301,1389634531.358921
3,77,0,42386,5,-9,-18,42491,3984,-6464,1728,41216,125,-725,-138,1389634531.358922
2,78,0,47656,0,-3,-32,47465,3792,-6976,-1088,45263,51,-833,-301,1389634531.358924
3,78,0,44386,4,-13,-32,44367,4000,-6480,1696,43794,123,-724,-141,1389634531.358926
2,79,0,48651,0,-9,-34,49343,3840,-6992,-1088,47825,50,-833,-300,1389634531.358927
3,79,0,46385,11,-11,-18,46244,4000,-6544,1664,46373,125,-722,-139,1389634531.358929
2,80,0,50640,-1,-11,-34,51221,3856,-6944,-1088,50386,50,-832,-301,1389634531.358943
3,80,0,48384,6,-11,-28,48121,4016,-6496,1632,46373,125,-722,-139,1389634531.358944
2,81,0,52630,0,-8,-33,53099,3904,-6976,-1072,52947,50,-830,-300,1389634531.358946
3,81,0,50384,3,-18,-27,49998,3984,-6480,1632,48953,124,-726,-139,1389634531.358948
2,82,0,54619,3,-6,-34,54978,3840,-6928,-1072,52947,50,-830,-300,1389634531.358949
3,82,0,51383,-4,-14,-25,51875,3984,-6528,1680,51531,125,-722,-138,1389634531.358951
2,83,0,56609,-6,-7,-24,56856,3872,-6960,-1088,55508,50,-832,-299,1389634531.358953
3,83,0,53383,5,-24,-25,53752,3984,-6576,1616,54110,126,-725,-139,1389634531.358954
2,84,0,58598,-4,-10,-35,58734,3824,-6976,-1104,58069,49,-832,-301,1389634531.358956
3,84,0,55382,2,-11,-33,55628,3952,-6432,1664,54110,126,-725,-139,1389634531.358958
2,85,0,60588,-2,-16,-24,60613,3840,-6976,-1120,60630,50,-833,-301,1389634531.358959
3,85,0,57381,1,-10,-32,57505,3920,-6512,1712,56689,124,-723,-139,1389634531.358961
2,86,0,62577,2,-10,-30,62492,3872,-6928,-1104,60630,50,-833,-301,1389634531.358963
3,86,0,59381,-1,-13,-29,59381,3952,-6560,1712,59267,125,-724,-139,1389634531.359006
2,87,0,64567,-5,-10,-34,64370,3920,-6928,-1088,63191,50,-832,-299,1389634531.359008
3,87,0,61380,8,-20,-24,61258,3984,-6512,1648,59267,125,-724,-139,1389634531.359010
2,88,0,25,-8,-16,-35,713,3856,-6960,-1136,217,50,-828,-299,1389634531.359012
3,88,0,63379,0,-8,-21,63134,3952,-6512,1664,61845,125,-726,-137,1389634531.359013
2,89,0,2015,-9,-7,-41,2591,3872,-6960,-1136,2777,50,-830,-300,1389634531.359015
3,89,0,65379,0,-12,-25,65011,3968,-6560,1616,64423,122,-722,-140,1389634531.359017
2,90,0,4005,-8,-10,-30,4470,3888,-7040,-1072,2777,50,-830,-300,1389634531.359019
3,90,0,842,9,-13,-23,1352,3952,-6592,1696,1467,123,-723,-143,1389634531.359020
2,91,0,5994,-8,-9,-39,6348,3856,-6912,-1088,5339,50,-833,-300,1389634531.359022
3,91,0,2842,8,-16,-29,3229,3984,-6560,1648,1467,123,-723,-143,1389634531.359024
2,92,0,7984,-8,-11,-44,8225,3872,-6976,-1056,7900,48,-834,-301,1389634531.359025
3,92,0,4841,8,-13,-26,5107,3968,-6560,1632,4046,124,-726,-141,1389634531.359027
2,93,0,9973,-18,-15,-44,10103,3872,-6992,-1008,7900,48,-834,-301,1389634531.359029
3,93,0,6841,3,-14,-36,6983,3920,-6576,1680,6626,126,-722,-139,1389634531.359030
2,94,0,11963,-12,-8,-42,11982,3872,-6944,-1008,10461,51,-833,-298,1389634531.359032
3,94,0,8840,9,-13,-33,8860,3952,-6480,1664,9206,122,-723,-139,1389634531.359034
2,95,0,13952,-15,-14,-38,13860,3840,-6960,-1088,13022,47,-831,-301,1389634531.359036
3,95,0,10839,1,-15,-23,10736,3968,-6496,1696,9206,122,-723,-139,1389634531.359037
2,96,0,15942,-13,-10,-43,15738,3696,-7040,-1056,15585,48,-830,-301,1389634531.359039
3,96,0,12839,3,-7,-27,12613,3936,-6544,1728,11784,126,-730,-139,1389634531.359041
2,97,0,16936,-13,-12,-44,17615,3840,-6992,-1008,15585,48,-830,-301,1389634531.359042
3,97,0,14838,6,3,-14,14490,3920,-6576,1712,14364,122,-730,-142,1389634531.359044
2,98,0,18926,-15,-13,-45,19494,3840,-6992,-1024,18146,49,-831,-298,1389634531.359046
3,98,0,15838,12,-13,-19,16366,3984,-6496,1648,14364,122,-730,-142,1389634531.359048
2,99,0,20915,-7,-12,-45,21372,3824,-6928,-1040,20706,51,-833,-300,1389634531.359049
3,99,0,17837,8,-4,-21,18243,3904,-6560,1632,16944,123,-722,-139,1389634531.359051
2,100,0,22905,-6,-11,-37,23250,3824,-7024,-1008,23267,49,-835,-301,1389634531.359053
3,100,0,19836,7,-9,-20,20119,3904,-6528,1696,19522,123,-725,-141,1389634531.359054
2,101,0,24894,-8,-9,-40,25127,3840,-6960,-1024,23267,49,-835,-301,1389634531.359056
3,101,0,21836,5,-5,-21,21996,3952,-6560,1680,22101,126,-724,-140,1389634531.359058
2,102,0,26884,1,-9,-35,27006,3840,-6992,-1040,25828,49,-832,-297,1389634531.359059
3,102,0,23835,-3,-13,-11,23873,3920,-6496,1616,22101,126,-724,-140,1389634531.359061
2,103,0,28873,-6,-2,-30,28884,3872,-6880,-1168,28389,49,-834,-300,1389634531.359063
3,103,0,25834,-3,-4,-18,25749,4032,-6544,1600,24680,125,-728,-143,1389634531.359065
2,104,0,30863,0,-7,-35,30763,3792,-6992,-1040,30949,51,-834,-299,1389634531.359066
3,104,0,27834,-8,-16,-19,27626,3952,-6464,1680,27259,125,-724,-141,1389634531.359068
2,105,0,31858,-4,-10,-33,32641,3840,-7040,-1008,30949,51,-834,-299,1389634531.359070
3,105,0,29833,-6,-11,-19,29503,3920,-6528,1680,29838,125,-725,-140,1389634531.359071
2,106,0,33847,-4,-9,-36,34519,3840,-6992,-1040,33510,47,-831,-303,1389634531.359073
3,106,0,30833,-3,-16,-21,31380,3968,-6512,1696,29838,125,-725,-140,1389634531.359075
2,107,0,35837,-2,-11,-42,36396,3840,-7008,-1056,36073,48,-834,-301,1389634531.359076
3,107,0,32832,-9,-22,-23,33257,3936,-6544,1664,32417,123,-729,-143,1389634531.359078
2,108,0,37826,-1,-9,-35,38274,3840,-7008,-1072,36073,48,-834,-301,1389634531.359080
3,108,0,34831,-10,-5,-22,35135,3936,-6544,1696,34995,124,-723,-142,1389634531.359081
2,109,0,39816,-2,-14,-27,40153,3808,-6896,-1056,38634,46,-833,-298,1389634531.359083
3,109,0,36831,-8,-12,-10,37012,3920,-6560,1760,34995,124,-723,-142,1389634531.359085
2,110,0,41805,6,-9,-26,42031,3792,-7008,-1008,41195,48,-832,-299,1389634531.359086
3,110,0,38830,-5,-1,-16,38889,3936,-6512,1776,37574,123,-725,-142,1389634531.359088
2,111,0,43795,3,-10,-27,43909,3824,-6992,-1120,43756,48,-834,-299,1389634531.359101
3,111,0,40829,-4,-9,-17,40766,3920,-6624,1664,40153,123,-725,-140,1389634531.359103
2,112,0,45784,6,-8,-25,45787,3808,-6976,-1072,43756,48,-834,-299,1389634531.359122
3,112,0,42829,-4,-13,-10,42642,3984,-6512,1584,42731,126,-726,-142,1389634531.359124
2,113,0,47774,2,-12,-32,47665,3792,-6976,-1072,46318,45,-840,-299,1389634531.359126
3,113,0,44828,-2,-7,-16,44518,4016,-6560,1616,42731,126,-726,-142,1389634531.359127
2,114,0,48768,7,-12,-33,49543,3808,-6992,-1056,48880,50,-831,-302,1389634531.359129
3,114,0,45828,-10,-15,-16,46396,3984,-6560,1552,45309,124,-723,-139,1389634531.359131
2,115,0,50758,11,-5,-32,51420,3792,-7008,-1104,51441,47,-833,-299,1389634531.359132
3,115,0,47827,-12,-15,-18,48273,3984,-6624,1600,47888,124,-724,-137,1389634531.359134
2,116,0,52747,8,-7,-29,53297,3792,-6960,-1088,51441,47,-833,-299,1389634531.359136
3,116,0,49826,-17,-7,-7,50150,3952,-6560,1648,50466,123,-725,-138,1389634531.359138
2,117,0,54737,-1,-16,-22,55175,3792,-6960,-1104,54003,47,-837,-299,1389634531.359139
3,117,0,51826,-19,-8,-17,52027,3952,-6512,1696,50466,123,-725,-138,1389634531.359142
2,118,0,56726,6,-7,-27,57053,3824,-7024,-1008,56565,50,-831,-296,1389634531.359144
3,118,0,53825,-13,-14,-14,53904,3968,-6480,1712,53045,122,-728,-139,1389634531.359145
2,119,0,58716,-2,-15,-21,58931,3776,-6944,-1056,56565,50,-831,-296,1389634531.359147
3,119,0,55824,-14,-2,-15,55781,3888,-6480,1728,55623,124,-724,-138,1389634531.359149
2,120,0,60706,3,-11,-20,60809,3776,-7040,-1056,59125,49,-832,-297,1389634531.359151
3,120,0,57824,-13,-8,-8,57658,3936,-6496,1728,55623,124,-724,-138,1389634531.359152
2,121,0,62695,10,-12,-16,62687,3776,-6960,-1040,61686,50,-835,-300,1389634531.359154
3,121,0,59823,-6,-4,-15,59536,3952,-6480,1776,58202,121,-723,-137,1389634531.359156
2,122,0,64685,10,-6,-19,64564,3776,-6960,-1120,64247,48,-832,-300,1389634531.359157
3,122,0,60823,-5,-4,-10,61414,3984,-6528,1744,60780,125,-722,-138,1389634531.359159
2,123,0,143,9,-7,-25,905,3808,-7024,-1136,64247,48,-832,-300,1389634531.359161
3,123,0,62822,-6,-6,-7,63290,3904,-6512,1680,63359,121,-721,-135,1389634531.359163
2,124,0,2133,5,-12,-9,2783,3808,-7024,-1104,1272,49,-834,-299,1389634531.359165
3,124,0,64822,-11,-19,-12,65167,3968,-6528,1680,63359,121,-721,-135,1389634531.359167
2,125,0,4122,3,-15,-15,4661,3920,-6960,-1056,3835,48,-833,-299,1389634531.359168
3,125,0,1285,3,-16,-21,1507,3968,-6528,1664,402,121,-724,-138,1389634531.359170
2,186,0,47849,-11,-28,-44,47593,4000,-6688,-1216,46944,155,-197,-85,1389634531.359400
3,186,0,44946,39,39,-16,44622,4000,-6416,1744,43102,323,-406,-126,1389634531.359407
2,187,0,48843,-11,-26,-47,49472,4000,-6928,-1040,49506,153,-200,-85,1389634531.371532
3,187,0,45946,46,28,-22,46499,4048,-6384,1600,45682,326,-406,-126,1389634531.371548
2,188,0,50833,-2,-7,-55,51351,3968,-6960,-912,49506,153,-200,-85,1389634531.371862
3,188,0,47945,49,30,-29,48376,4000,-6448,1584,48260,325,-405,-129,1389634531.378117
2,189,0,52822,23,5,-46,53229,3936,-6944,-928,52069,153,-199,-81,1389634531.390305
3,189,0,49945,41,24,-30,50253,4064,-6496,1568,48260,325,-405,-129,1389634531.390315
2,190,0,54812,52,24,-19,55106,3936,-6928,-976,54630,151,-201,-85,1389634531.402348
3,190,0,51944,29,7,-33,52129,3984,-6496,1808,50839,324,-405,-127,1389634531.402358
2,191,0,56801,73,35,-2,56985,3904,-6960,-1152,57192,152,-199,-82,1389634531.402678
3,191,0,53943,31,5,-37,54006,3888,-6544,1872,53418,325,-405,-128,1389634531.402685
