Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-727.13,476.76,189.58,-450.63,511.91,461.26,-480.34,561.04,559.18,-650.69,463.44,78.944,-653.13,339.7,956.61,-586.39,280.77,78.951,-432.72,240.74,890.76,-645.02,531.81,254.31,,,,-514.02,157.61,563,-449.1,285.02,43.312,-506.3,223.27,458.21,-573.23,221.25,158.12,-775.27,438.41,210.26,-624.02,335.45,62.928
2,0.01,-688.64,476.6,179.21,-424.58,510.05,466.88,-457.13,560.33,563.64,-605.87,462.82,73.735,-638.59,340.05,957.21,-586.26,281.02,79.177,-419.37,239.2,890.63,-608.04,530.35,247.01,-440.86,482.45,882.2,-509.92,158.23,563.58,-448.52,285.34,43.44,-505.23,223.41,458.15,-572.25,221.47,158.42,-738.66,437.79,196.5,-623.99,335.89,63.195
3,0.02,-649.15,476.52,168.86,-399.58,508.35,471.84,-434.46,559.67,567.64,-560.29,462.36,69.034,-624.22,340.47,957.46,-586.04,281.4,79.469,-406.15,237.72,890.18,-570.92,529.16,239.96,-426.58,479.75,883.07,-505.48,158.8,563.98,-448.02,285.56,43.51,-503.71,223.57,458.08,-571.33,221.77,158.74,-700.71,437.21,182.57,-623.84,336.36,63.546
4,0.03,-608.67,476.51,158.54,-375.62,506.83,476.11,-412.33,559.05,571.16,-513.96,462.07,64.859,-610.01,340.95,957.36,-585.74,281.93,79.828,-393.07,236.31,889.41,-533.66,528.22,233.17,-412.13,477.57,883.7,-500.7,159.33,564.2,-447.6,285.69,43.525,-501.76,223.74,457.99,-570.48,222.15,159.1,-661.43,436.69,168.51,-623.58,336.87,63.982
5,0.04,-567.22,476.6,148.31,-352.72,505.47,479.7,-390.76,558.48,574.19,-466.93,461.94,61.251,-595.97,341.5,956.91,-585.36,282.6,80.255,-380.12,234.96,888.33,-496.29,527.54,226.68,-397.51,475.88,884.08,-495.57,159.81,564.24,-447.27,285.71,43.485,-499.35,223.94,457.89,-569.68,222.63,159.49,-620.82,436.25,154.39,-623.19,337.42,64.502
6,0.05,-524.84,476.79,138.27,-330.87,504.29,482.58,-369.8,557.96,576.69,-419.25,461.99,58.278,-582.07,342.12,956.11,-584.9,283.4,80.753,-367.27,233.68,886.94,-458.84,527.13,220.51,-382.72,474.65,884.18,-490.08,160.25,564.09,-447.06,285.62,43.395,-496.48,224.18,457.76,-568.9,223.19,159.92,-578.93,435.92,140.33,-622.7,338.04,65.105
7,0.06,-481.63,477.12,128.57,-310.09,503.27,484.71,-349.48,557.48,578.61,-371.07,462.24,56.032,-568.31,342.81,954.98,-584.39,284.31,81.325,-354.48,232.46,885.26,-421.39,526.99,214.74,-367.74,473.79,883.96,-484.19,160.66,563.77,-446.96,285.44,43.263,-493.12,224.45,457.59,-568.1,223.83,160.37,-535.84,435.75,126.54,-622.12,338.77,65.787
8,0.07,-437.71,477.6,119.4,-290.37,502.4,486.08,-329.88,557.04,579.86,-322.55,462.69,54.626,-554.64,343.58,953.52,-583.84,285.3,81.971,-341.68,231.32,883.31,-384,527.12,209.46,-352.58,473.2,883.37,-477.9,161.06,563.26,-446.97,285.23,43.1,-489.25,224.77,457.36,-567.24,224.56,160.88,-491.68,435.76,113.24,-621.46,339.63,66.545
9,0.08,-393.29,478.24,110.97,-271.7,501.68,486.65,-311.05,556.65,580.37,-273.91,463.39,54.184,-541.02,344.44,951.76,-583.27,286.36,82.693,-328.77,230.27,881.13,-346.81,527.52,204.74,-337.22,472.78,882.38,-471.19,161.44,562.59,-447.04,285.04,42.914,-484.85,225.14,457.08,-566.26,225.37,161.44,-446.63,435.99,100.73,-620.75,340.64,67.388
10,0.09,-348.61,479.04,103.5,-254.02,501.06,486.42,-293.04,556.3,580.05,-225.44,464.34,54.833,-527.41,345.39,949.72,-582.69,287.45,83.498,-315.65,229.34,878.77,-309.94,528.17,200.68,-321.66,472.45,880.99,-464.09,161.83,561.8,-447.14,284.89,42.72,-479.91,225.55,456.73,-565.15,226.24,162.09,-400.95,436.48,89.273,-620.01,341.8,68.335
11,0.1,-303.98,479.99,97.168,-237.28,500.54,485.4,-275.89,556.01,578.85,-177.46,465.55,56.671,-513.74,346.46,947.43,-582.11,288.54,84.406,-302.22,228.56,876.25,-273.56,529.05,197.35,-305.9,472.19,879.24,-456.61,162.22,560.91,-447.22,284.8,42.528,-474.43,225.99,456.34,-563.88,227.16,162.86,-354.96,437.24,79.145,-619.24,343.08,69.427
12,0.11,-259.79,481.1,92.123,-221.34,500.08,483.65,-259.59,555.81,576.77,-130.35,466.99,59.75,-499.96,347.64,944.95,-581.52,289.61,85.452,-288.34,227.99,873.65,-237.83,530.1,194.8,-289.94,471.96,877.19,-448.8,162.61,559.98,-447.24,284.76,42.354,-468.42,226.44,455.91,-562.43,228.08,163.77,-309.08,438.29,70.542,-618.44,344.41,70.717
13,0.12,-216.46,482.32,88.434,-206.06,499.65,481.26,-244.09,555.73,573.83,-84.534,468.6,64.051,-486.01,348.95,942.31,-580.9,290.61,86.684,-273.94,227.67,870.99,-202.95,531.28,193.03,-273.82,471.71,874.89,-440.69,163,559.09,-447.2,284.74,42.209,-461.89,226.86,455.5,-560.77,228.97,164.87,-263.81,439.62,63.571,-617.6,345.74,72.267
14,0.13,-174.44,483.65,86.079,-191.24,499.25,478.37,-229.27,555.79,570.15,-40.471,470.3,69.457,-471.82,350.39,939.59,-580.2,291.52,88.157,-258.96,227.63,868.33,-169.12,532.51,192.01,-257.58,471.36,872.4,-432.32,163.38,558.28,-447.07,284.71,42.107,-454.85,227.24,455.13,-558.88,229.77,166.18,-219.75,441.19,58.23,-616.68,346.97,74.145
15,0.14,-134.23,485.05,84.937,-176.69,498.87,475.14,-214.97,555.98,565.91,1.3531,471.93,75.74,-457.34,351.97,936.85,-579.37,292.28,89.932,-243.37,227.87,865.72,-136.55,533.74,191.64,-241.26,470.79,869.77,-423.68,163.72,557.61,-446.86,284.65,42.058,-447.28,227.53,454.85,-556.74,230.43,167.74,-177.52,442.98,54.397,-615.67,348.02,76.417
16,0.15,-96.323,486.48,84.781,-162.16,498.51,471.74,-200.96,556.29,561.35,40.45,473.31,82.538,-442.52,353.67,934.16,-578.37,292.84,92.065,-227.22,228.39,863.19,-105.47,534.89,191.79,-224.92,469.92,867.03,-414.76,164.02,557.13,-446.56,284.52,42.071,-439.18,227.7,454.67,-554.31,230.88,169.58,-137.76,444.92,51.843,-614.54,348.81,79.147
17,0.16,-61.173,487.88,85.3,-147.46,498.2,468.38,-186.96,556.69,556.73,76.364,474.24,89.358,-427.33,355.5,931.58,-577.15,293.14,94.605,-210.58,229.12,860.79,-76.077,535.92,192.28,-208.57,468.76,864.26,-405.51,164.24,556.86,-446.18,284.31,42.145,-430.51,227.72,454.62,-551.56,231.08,171.74,-101.07,446.95,50.259,-613.26,349.26,82.387
18,0.17,-29.184,489.19,86.127,-132.38,497.95,465.23,-172.68,557.16,552.36,108.7,474.53,95.598,-411.75,357.41,929.17,-575.65,293.12,97.59,-193.58,230,858.56,-48.586,536.77,192.91,-192.16,467.39,861.57,-395.82,164.36,556.8,-445.71,284,42.266,-421.2,227.56,454.68,-548.44,231,174.23,-67.975,448.98,49.307,-611.79,349.29,86.182
19,0.18,-0.65897,490.37,86.89,-116.8,497.77,462.43,-157.85,557.64,548.51,137.19,474.06,100.6,-395.77,359.39,927,-573.84,292.71,101.05,-176.35,230.93,856.56,-23.168,537.42,193.47,-175.62,465.98,859.11,-385.57,164.39,556.93,-445.14,283.58,42.401,-411.17,227.22,454.84,-544.88,230.6,177.09,-38.871,450.96,48.668,-610.09,348.85,90.564
20,0.19,24.227,491.37,87.268,-100.61,497.66,460.09,-142.25,558.12,545.38,161.67,472.82,103.76,-379.39,361.39,925.1,-571.64,291.89,104.98,-159.03,231.82,854.81,0.048728,537.88,193.77,-158.9,464.71,857.02,-374.63,164.3,557.2,-444.48,283.07,42.5,-400.34,226.68,455.06,-540.79,229.87,180.34,-13.984,452.85,48.092,-608.1,347.9,95.562
21,0.2,45.447,492.2,87.038,-83.819,497.63,458.28,-125.75,558.55,543.13,182.19,470.91,104.57,-362.65,363.36,923.5,-568.95,290.65,109.4,-141.76,232.57,853.35,21.003,538.17,193.68,-141.94,463.7,855.37,-362.82,164.11,557.54,-443.73,282.5,42.507,-388.59,225.95,455.26,-536.06,228.81,183.99,6.6542,454.62,47.437,-605.69,346.47,101.2
22,0.21,63.125,492.84,86.11,-66.464,497.66,457.02,-108.32,558.92,541.81,198.93,468.56,102.78,-345.58,365.23,922.25,-565.66,289.02,114.3,-124.68,233.09,852.21,39.714,538.29,193.11,-124.74,463.05,854.19,-350,163.83,557.86,-442.88,281.93,42.367,-375.8,225.05,455.39,-530.59,227.45,188.06,23.215,456.25,46.676,-602.72,344.61,107.5
23,0.22,77.517,493.33,84.53,-48.653,497.72,456.31,-90.055,559.22,541.41,212.29,466.06,98.441,-328.24,366.96,921.33,-561.63,287.07,119.67,-107.89,233.34,851.38,56.286,538.28,192.06,-107.26,462.79,853.47,-336.04,163.49,558.07,-441.94,281.44,42.037,-361.83,224.03,455.36,-524.24,225.86,192.53,36.056,457.74,45.889,-599,342.4,114.49
24,0.23,88.988,493.68,82.46,-30.531,497.79,456.12,-71.12,559.44,541.84,222.76,463.74,91.893,-310.68,368.5,920.77,-556.69,284.89,125.52,-91.477,233.3,850.87,70.899,538.17,190.6,-89.519,462.93,853.2,-320.8,163.12,558.06,-440.93,281.11,41.507,-346.55,222.91,455.08,-516.87,224.11,197.36,45.684,459.06,45.221,-594.27,339.99,122.19
25,0.24,97.969,493.95,80.137,-12.273,497.84,456.41,-51.772,559.58,542.97,230.89,461.87,83.758,-292.99,369.78,920.55,-550.65,282.64,131.85,-75.466,233,850.62,83.789,537.96,188.84,-71.564,463.43,853.37,-304.19,162.73,557.72,-439.83,280.98,40.817,-329.85,221.75,454.47,-508.33,222.3,202.53,52.689,460.16,44.832,-588.27,337.51,130.61
26,0.25,104.91,494.15,77.817,5.9282,497.85,457.12,-32.309,559.67,544.66,237.2,460.64,74.84,-275.23,370.8,920.65,-543.34,280.45,138.66,-59.841,232.5,850.61,95.212,537.66,186.94,-53.491,464.22,853.98,-286.15,162.37,556.99,-438.59,281.03,40.087,-311.62,220.6,453.45,-498.43,220.52,207.97,57.677,461.03,44.836,-580.73,335.14,139.76
27,0.26,110.23,494.31,75.721,23.875,497.81,458.18,-13.045,559.73,546.74,242.13,460.06,65.992,-257.48,371.51,921.07,-534.57,278.46,145.97,-44.537,231.9,850.78,105.41,537.3,185.02,-35.428,465.22,855.01,-266.65,162.03,555.78,-437.11,281.25,39.533,-291.77,219.53,451.95,-486.98,218.87,213.62,61.199,461.66,45.27,-571.38,333.02,149.65
28,0.27,114.29,494.45,74.003,41.366,497.69,459.52,5.7226,559.79,549.09,246,460.03,57.977,-239.82,371.92,921.78,-524.15,276.79,153.8,-29.444,231.31,851.11,114.57,536.86,183.22,-17.512,466.35,856.45,-245.7,161.74,554.08,-435.16,281.57,39.47,-270.26,218.57,449.93,-473.83,217.45,219.42,63.703,462.05,46.077,-560,331.27,160.22
29,0.28,117.39,494.57,72.735,58.198,497.51,461.02,23.737,559.89,551.54,249.04,460.35,51.344,-222.31,372.04,922.75,-511.95,275.54,162.14,-14.435,230.83,851.58,122.82,536.39,181.6,0.1383,467.55,858.3,-223.37,161.5,551.88,-432.39,281.9,40.275,-247.09,217.79,447.41,-458.81,216.31,225.29,65.521,462.23,47.133,-546.45,329.98,171.41
30,0.29,119.76,494.67,71.915,74.171,497.27,462.59,40.796,560.05,553.99,251.4,460.83,46.363,-205.03,371.87,923.97,-497.82,274.75,170.95,0.60312,230.53,852.19,130.22,535.9,180.21,17.434,468.76,860.51,-199.76,161.3,549.26,-428.32,282.18,42.317,-222.33,217.19,444.46,-441.83,215.51,231.15,66.877,462.25,48.28,-530.67,329.21,183.08
31,0.3,121.56,494.76,71.488,89.092,497.03,464.09,56.759,560.28,556.32,253.18,461.3,43.028,-188.02,371.46,925.39,-481.68,274.44,180.15,15.745,230.43,852.95,136.77,535.42,179.05,34.326,469.94,863.03,-175.03,161.16,546.33,-422.33,282.35,45.865,-196.07,216.78,441.18,-422.83,215.05,236.96,67.905,462.15,49.371,-512.66,328.97,195.01
32,0.31,122.93,494.83,71.364,102.79,496.8,465.43,71.545,560.56,558.45,254.49,461.65,41.118,-171.31,370.83,927.01,-463.45,274.58,189.59,31.014,230.51,853.85,142.47,535,178.1,50.798,471.03,865.75,-149.4,161.05,543.27,-413.78,282.37,50.986,-168.49,216.54,437.76,-401.82,214.92,242.66,68.682,462.02,50.291,-492.51,329.2,206.95
33,0.32,123.95,494.89,71.445,115.13,496.65,466.52,85.129,560.86,560.34,255.4,461.84,40.289,-154.93,370.04,928.79,-443.1,275.1,199.04,46.378,230.71,854.92,147.31,534.66,177.33,66.861,471.98,868.56,-123.09,160.98,540.26,-402.04,282.28,57.507,-139.78,216.44,434.42,-378.87,215.08,248.19,69.246,461.92,50.975,-470.38,329.83,218.56
34,0.33,124.69,494.95,71.636,126.06,496.59,467.33,97.531,561.16,561.96,256,461.9,40.17,-138.88,369.14,930.71,-420.65,275.88,208.21,61.773,230.96,856.16,151.3,534.44,176.71,82.535,472.72,871.35,-96.351,160.93,537.54,-386.58,282.17,65.016,-110.17,216.43,431.4,-354.07,215.46,253.51,69.62,461.9,51.408,-446.41,330.73,229.48
35,0.34,125.21,495,71.857,135.57,496.66,467.83,108.81,561.43,563.31,256.36,461.85,40.424,-123.16,368.19,932.74,-396.11,276.8,216.75,77.115,231.17,857.55,154.46,534.34,176.21,97.847,473.2,874.02,-69.434,160.9,535.29,-367.11,282.24,72.93,-79.899,216.43,428.93,-327.57,215.98,258.52,69.827,461.98,51.613,-420.79,331.77,239.35
36,0.35,125.56,495.04,72.054,143.73,496.85,468.06,119.06,561.64,564.41,256.55,461.75,40.798,-107.74,367.22,934.88,-369.57,277.73,224.32,92.322,231.26,859.1,156.86,534.38,175.79,112.83,473.36,876.51,-42.566,160.89,533.7,-343.59,282.69,80.599,-49.203,216.39,427.23,-299.52,216.57,263.12,69.891,462.15,51.645,-393.72,332.78,247.83
37,0.36,125.78,495.07,72.193,150.67,497.15,468.04,128.39,561.78,565.32,256.63,461.66,41.13,-92.593,366.29,937.08,-341.15,278.57,230.57,107.33,231.17,860.8,158.58,534.53,175.44,127.53,473.17,878.81,-15.938,160.89,532.87,-316.22,283.71,87.416,-18.307,216.26,426.44,-270.1,217.15,267.17,69.847,462.39,51.564,-365.35,333.64,254.64
38,0.37,125.91,495.06,72.264,156.56,497.54,467.83,136.92,561.84,566.05,256.67,461.59,41.342,-77.69,365.41,939.33,-311.02,279.23,235.24,122.09,230.89,862.61,159.73,534.78,175.14,142.02,472.62,880.92,10.303,160.88,532.87,-285.37,285.35,92.909,12.593,216.01,426.67,-239.48,217.65,270.53,69.731,462.66,51.431,-335.87,334.25,259.56
