Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,,,,,,,-1316.6,423.28,666.2,,,,-1591.7,208.07,1142.5,,,,,,,-1366,403.24,218.39,,,,,,,-1505.9,163.35,54.951,,,,-1626.3,78.515,203.4,,,,-1713.2,198.72,79.515
2,0.01,,,,,,,-1300.9,422.86,662.03,,,,-1577.8,209.57,1137.7,,,,,,,-1326.8,404.29,215.67,,,,,,,-1505.6,163.28,54.874,,,,-1626.4,78.318,203.93,-1383,286.5,80.873,-1712.7,199.43,79.682
3,0.02,,,,,,,-1284.8,422.43,657.91,,,,-1563.7,211.05,1133.1,,,,,,,-1288,405.07,213.44,,,,,,,-1505.3,163.27,54.8,,,,-1626.1,78.138,204.43,-1334.2,288.91,75.961,-1712.3,200.06,80.039
4,0.03,,,,-1236.8,369.5,579.49,-1268.6,422,653.86,,,,-1549.3,212.51,1128.6,,,,,,,-1249.9,405.57,211.7,,,,,,,-1505,163.32,54.73,,,,-1625.5,77.975,204.88,-1287.1,290.64,71.842,-1711.8,200.6,80.589
5,0.04,-1210.2,350.92,93.739,-1220,368.86,575.08,-1252,421.55,649.86,-1065,350.34,74.096,-1534.7,213.94,1124.1,,,,,,,-1212.3,405.8,210.41,,,,,,,-1504.8,163.42,54.665,,,,-1624.6,77.826,205.31,-1241.5,291.69,68.505,-1711.4,201.06,81.336
6,0.05,-1164.4,350.79,96.047,-1203,368.17,570.87,-1235.2,421.08,645.94,-1019.2,347.23,83.543,-1519.9,215.34,1119.8,,,,,,,-1175.5,405.76,209.55,,,,,,,-1504.6,163.57,54.608,,,,-1623.4,77.686,205.71,-1197.6,292.08,65.921,-1711,201.43,82.288
7,0.06,-1121,350.29,98.043,-1185.8,367.45,566.87,-1218.2,420.59,642.12,-975.59,343.94,92.528,-1504.8,216.71,1115.6,,,,,,,-1139.5,405.43,209.05,,,,,,,-1504.3,163.75,54.563,,,,-1621.9,77.548,206.1,-1155.4,291.82,64.038,-1710.7,201.68,83.464
8,0.07,-1080.2,349.44,99.726,-1168.4,366.69,563.08,-1200.8,420.05,638.42,-934.22,340.49,101.03,-1489.5,218.05,1111.5,,,,,,,-1104.5,404.81,208.82,,,,,,,-1504.1,163.96,54.533,,,,-1620.1,77.401,206.5,-1115,290.96,62.771,-1710.3,201.81,84.888
9,0.08,-1041.9,348.23,101.09,-1150.7,365.89,559.52,-1183.2,419.46,634.89,-895.12,336.89,108.97,-1474,219.36,1107.6,,,,,,,-1070.8,403.91,208.76,,,,,,,-1503.9,164.16,54.523,,,,-1617.9,77.231,206.93,-1076.4,289.53,62.013,-1710,201.79,86.596
10,0.09,-1006.2,346.68,102.13,-1132.8,365.04,556.19,-1165.2,418.78,631.56,-858.35,333.18,116.25,-1458.2,220.62,1103.8,,,,,,,-1038.5,402.72,208.76,,,,,,,-1503.7,164.34,54.534,,,,-1615.5,77.023,207.46,-1039.9,287.6,61.634,-1709.7,201.6,88.636
