Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-568.34,326.62,90.158,-651.01,349.73,489.98,-690.16,411.66,605.3,-454.39,294.2,96.491,-986.98,208.58,968.9,-1076.3,146.42,82.076,,,,-590.74,374.51,208.9,-748.41,328.62,913,-923.16,13.94,589.57,-956.6,148.9,51.152,-985.11,90.827,476.75,-1052.1,78.175,213.29,-626.57,284.78,55.781,-1123.5,191.49,82.878
2,0.01,-536.01,325.1,92.075,-637.16,348.6,486.14,-676.55,411.75,601.4,-421.92,295.06,106.31,-972.21,210.33,965.25,-1076,147.67,82.498,,,,-565.05,373.38,209.51,-733.69,329.12,908.93,-914.31,14.49,588.19,-956.82,149.11,50.976,-977.95,92.397,476.34,-1049.2,79.618,214.17,-590.82,282.64,55.028,-1122.8,193.07,84.301
3,0.02,-506.58,323.67,93.299,-622.82,347.5,482.62,-662.34,411.7,597.87,-392.46,295.51,114.07,-957.23,212,961.81,-1075.6,148.72,83.342,,,,-540.94,372.22,209.64,-718.78,329.57,905.09,-904.98,14.978,586.94,-956.95,149.29,50.844,-970.07,93.694,475.94,-1045.9,80.855,215.15,-558.68,280.76,54.023,-1122,194.43,86.226
4,0.03,-480.05,322.32,93.832,-608.02,346.42,479.42,-647.54,411.5,594.73,-365.99,295.55,119.75,-942.04,213.59,958.57,-1075,149.56,84.61,,,,-518.41,371.04,209.28,-703.67,329.96,901.48,-895.16,15.404,585.83,-956.99,149.46,50.757,-961.46,94.718,475.56,-1042.3,81.878,216.23,-530.15,279.16,52.777,-1121.1,195.56,88.661
5,0.04,-456.38,321.05,93.687,-592.75,345.37,476.55,-632.15,411.17,591.96,-342.5,295.2,123.33,-926.66,215.09,955.54,-1074.2,150.2,86.307,,,,-497.45,369.83,208.45,-688.38,330.31,898.09,-884.84,15.767,584.84,-956.93,149.58,50.716,-952.11,95.47,475.18,-1038.2,82.668,217.43,-505.2,277.82,51.313,-1120,196.46,91.615
6,0.05,-435.54,319.87,92.894,-577.03,344.34,474.01,-616.18,410.69,589.57,-321.89,294.46,124.75,-911.09,216.51,952.72,-1073.2,150.62,88.438,,,,-478.01,368.59,207.17,-672.89,330.64,894.95,-873.97,16.066,583.97,-956.75,149.64,50.717,-941.99,95.949,474.79,-1033.8,83.197,218.76,-483.76,276.74,49.69,-1118.6,197.13,95.111
7,0.06,-417.41,318.76,91.509,-560.89,343.35,471.81,-599.68,410.1,587.57,-304.06,293.37,124,-895.34,217.84,950.11,-1071.8,150.8,91.011,,,,-460.05,367.32,205.51,-657.21,330.99,892.09,-862.49,16.3,583.18,-956.42,149.62,50.747,-931.07,96.155,474.38,-1028.9,83.439,220.28,-465.72,275.9,48.002,-1117,197.53,99.181
8,0.07,-401.86,317.74,89.622,-544.38,342.39,469.97,-582.69,409.42,585.94,-288.8,291.95,121.12,-879.43,219.08,947.73,-1070.1,150.72,94.033,,,,-443.48,366.01,203.53,-641.35,331.41,889.53,-850.34,16.468,582.47,-955.93,149.47,50.772,-919.28,96.087,473.92,-1023.5,83.366,222.05,-450.88,275.28,46.386,-1115.1,197.66,103.86
9,0.08,-388.68,316.81,87.358,-527.57,341.48,468.49,-565.29,408.69,584.7,-275.85,290.24,116.28,-863.39,220.23,945.58,-1067.8,150.35,97.51,,,,-428.22,364.64,201.35,-625.33,331.93,887.32,-837.43,16.57,581.79,-955.26,149.18,50.743,-906.57,95.74,473.39,-1017.7,82.959,224.12,-438.95,274.83,45.001,-1112.6,197.45,109.19
10,0.09,-377.63,315.95,84.866,-510.55,340.64,467.37,-547.59,407.96,583.83,-264.91,288.3,109.75,-847.24,221.28,943.67,-1064.9,149.66,101.44,,,,-414.14,363.23,199.07,-609.17,332.6,885.5,-823.68,16.603,581.13,-954.44,148.75,50.599,-892.87,95.112,472.74,-1011.2,82.198,226.57,-429.59,274.54,43.999,-1109.5,196.88,115.21
