Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-1249.7,473.12,118.44,-1136.7,460.9,557.27,-1171.7,507.59,630.06,-1137.7,457.33,76.198,-1437.2,329.45,1027.2,,,,,,,-1220,508.96,211.62,,,,,,,-1349.5,303.74,49.524,,,,-1450.8,226.01,162.95,-1301.1,429.33,109.32,-1524.8,317.32,52.871
2,0.01,-1199.9,471.19,110.39,-1117.3,461.57,554.33,-1151.3,508.17,628.82,-1086.3,454.74,74.599,-1421.4,331.35,1023,,,,,,,-1177.3,508.24,204.81,,,,,,,-1348.9,303.86,49.671,,,,-1447.3,226.8,162.55,-1251.5,428.23,98.473,-1524.7,317.59,53.269
3,0.02,-1150.7,469.37,103.91,-1098.4,462.25,550.94,-1131.8,508.88,626.51,-1035.7,451.75,74.573,-1405.3,333.31,1018.9,,,,,,,-1135.1,507.48,199.22,,,,,,,-1348.5,303.99,49.767,,,,-1444,227.56,162.31,-1202.3,427.29,89.259,-1524.5,317.93,53.916
4,0.03,-1102.1,467.66,99.006,-1080,462.95,547.12,-1113.3,509.72,623.14,-986,448.39,76.11,-1389,335.32,1014.7,,,,,,,-1093.3,506.68,194.84,,,,,,,-1348.2,304.1,49.81,,,,-1440.9,228.29,162.21,-1153.4,426.49,81.671,-1524.2,318.34,54.814
5,0.04,-1054.2,466.06,95.651,-1062.1,463.66,542.91,-1095.7,510.66,618.77,-937.28,444.71,79.17,-1372.4,337.39,1010.5,,,,,,,-1052.2,505.84,191.68,,,,,,,-1348,304.21,49.802,,,,-1437.8,228.97,162.26,-1105,425.82,75.675,-1523.9,318.8,55.97
6,0.05,-1007.2,464.57,93.783,-1044.6,464.37,538.38,-1078.8,511.7,613.49,-889.76,440.81,83.657,-1355.5,339.51,1006.4,,,,,,,-1011.7,505,189.69,,,,-1300.8,176.75,566.68,-1347.9,304.32,49.748,,,,-1434.9,229.59,162.46,-1057.3,425.23,71.196,-1523.5,319.29,57.396
7,0.06,-961.46,463.15,93.26,-1027.4,465.06,533.61,-1062.6,512.79,607.46,-843.76,436.83,89.378,-1338.4,341.65,1002.3,,,,,,,-972.06,504.17,188.77,,,,-1290.7,177.4,564.4,-1347.9,304.42,49.664,,,,-1432.1,230.1,162.82,-1010.7,424.68,68.101,-1523.1,319.77,59.111
8,0.07,-917.48,461.77,93.837,-1010.4,465.72,528.73,-1046.9,513.89,600.93,-799.72,432.97,96.026,-1321,343.8,998.2,,,,,,,-933.69,503.35,188.77,,,,-1280.4,177.95,562.16,-1347.9,304.5,49.575,,,,-1429.2,230.5,163.35,-965.76,424.09,66.177,-1522.6,320.15,61.146
9,0.08,-875.81,460.4,95.16,-993.49,466.32,523.89,-1031.4,514.94,594.18,-758.14,429.42,103.16,-1303.3,345.94,994.2,,,,,,,-897.05,502.52,189.4,,,,-1269.7,178.41,559.97,-1347.9,304.52,49.511,,,,-1426.3,230.76,164.08,-923,423.38,65.127,-1522.1,320.38,63.545
10,0.09,-837.09,458.98,96.778,-976.47,466.82,519.25,-1015.9,515.9,587.55,-719.58,426.41,110.21,-1285.3,348.03,990.31,,,,,,,-862.7,501.65,190.29,,,,-1258.7,178.81,557.8,-1347.8,304.48,49.508,,,,-1423.3,230.84,165.06,-883.09,422.45,64.571,-1521.5,320.37,66.371
11,0.1,-801.92,457.47,98.198,-959.18,467.2,514.93,-999.9,516.7,581.36,-684.57,424.07,116.53,-1267.1,350.06,986.56,,,,,,,-831.21,500.68,190.98,,,,-1247.3,179.19,555.64,-1347.5,304.33,49.595,,,,-1420,230.74,166.32,-846.72,421.21,64.095,-1520.9,320.05,69.696
12,0.11,-770.81,455.86,98.945,-941.44,467.42,511.08,-983.28,517.31,575.87,-653.57,422.47,121.4,-1248.6,352,983.01,,,,,,,-803.09,499.58,191.02,,,,-1235.4,179.6,553.46,-1346.9,304.06,49.784,,,,-1416.3,230.42,167.93,-814.48,419.59,63.31,-1520,319.37,73.607
13,0.12,-744.08,454.17,98.647,-923.14,467.45,507.77,-965.8,517.69,571.3,-626.9,421.54,124.17,-1229.8,353.81,979.7,,,,,,,-778.62,498.31,190.06,,,,-1222.8,180.1,551.22,-1346,303.68,50.062,,,,-1412.3,229.89,169.96,-786.79,417.62,61.931,-1519,318.3,78.191
14,0.13,-721.82,452.42,97.102,-904.21,467.28,505.06,-947.34,517.81,567.72,-604.62,421.13,124.37,-1210.9,355.49,976.69,,,,,,,-757.79,496.87,187.91,,,,-1209.4,180.75,548.91,-1344.8,303.21,50.382,,,,-1407.9,229.13,172.46,-763.82,415.39,59.849,-1517.5,316.87,83.541
