Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-1390.8,353.35,122.95,-1243.9,381.17,522.08,-1218.6,437.34,633.3,-1272.6,322.64,55.495,-1204,225.9,1024,-826.82,122.17,95.15,,,,-1363.7,408.03,226.54,,,,-989.78,46.363,584.08,-713.86,144.09,104.19,-946.02,99.385,507.95,-863.6,72.206,212.23,-1446.7,312.59,116.87,-883.85,176.87,59.507
2,0.01,-1391,353.83,124.9,-1238.8,380.51,522.89,-1211.6,436.64,633.49,-1272.2,323.04,56.118,-1187.2,224.49,1018.5,-797.61,123.12,94.482,,,,-1361.5,408.07,228.65,,,,-971.64,47.317,580.23,-682.62,142.73,109.87,-928.38,100.04,504.2,-839.86,72.742,209.43,-1447.5,312.77,119.04,-851.98,179.29,56.862
3,0.02,-1390.6,354.31,127.02,-1232.3,380.11,523.31,-1203.4,436.07,633.52,-1271.7,323.34,56.539,-1170.3,223.21,1013.5,-771.28,124.19,93.456,,,,-1358.6,408.16,230.8,,,,-953.13,48.096,576.93,-654.64,142.07,113.26,-910.35,100.57,500.91,-817.47,73.416,206.76,-1447.6,313.03,121.73,-823.64,181.49,54.534
4,0.03,-1389.6,354.79,129.31,-1224.3,379.97,523.35,-1194.2,435.63,633.37,-1271.2,323.54,56.751,-1153.4,222.05,1009.1,-747.82,125.36,92.079,,,,-1355.1,408.32,232.98,,,,-934.25,48.699,574.16,-629.88,142.11,114.39,-891.91,100.98,498.1,-796.43,74.223,204.22,-1446.9,313.37,124.93,-798.8,183.48,52.525
5,0.04,-1387.9,355.26,131.77,-1214.9,380.1,523,-1183.8,435.34,633.04,-1270.7,323.64,56.741,-1136.4,221.03,1005.1,-727.18,126.62,90.373,,,,-1351,408.54,235.19,,,,-915.03,49.128,571.93,-608.31,142.82,113.35,-873.1,101.26,495.75,-776.72,75.156,201.82,-1445.4,313.78,128.66,-777.41,185.26,50.84
6,0.05,-1385.5,355.71,134.39,-1204.1,380.49,522.26,-1172.4,435.17,632.51,-1270.2,323.61,56.488,-1119.3,220.13,1001.7,-709.31,127.96,88.376,,,,-1346.1,408.82,237.42,,,,-895.51,49.382,570.22,-589.82,144.15,110.31,-853.96,101.42,493.86,-758.33,76.199,199.57,-1443,314.26,132.91,-759.38,186.81,49.484
7,0.06,-1382.3,356.16,137.2,-1191.8,381.11,521.12,-1159.8,435.14,631.76,-1269.7,323.43,55.975,-1102.1,219.35,998.77,-694.07,129.36,86.148,,,,-1340.5,409.17,239.66,,,,-875.77,49.465,569,-574.28,146.03,105.53,-834.57,101.45,492.41,-741.24,77.328,197.48,-1439.7,314.79,137.71,-744.54,188.12,48.466
8,0.07,-1378.2,356.58,140.21,-1178,381.96,519.59,-1146.1,435.24,630.75,-1269.2,323.09,55.203,-1084.9,218.69,996.33,-681.32,130.77,83.766,,,,-1333.9,409.58,241.9,,,,-855.89,49.379,568.26,-561.49,148.37,99.356,-815.03,101.34,491.37,-725.43,78.509,195.58,-1435.2,315.37,143.05,-732.67,189.18,47.789
9,0.08,-1373.1,356.98,143.45,-1162.7,383,517.65,-1131.1,435.45,629.44,-1268.8,322.6,54.206,-1067.6,218.14,994.4,-670.86,132.17,81.319,,,,-1326.2,410.08,244.12,,,,-836.01,49.129,567.96,-551.19,151.02,92.222,-795.48,101.1,490.7,-710.87,79.7,193.87,-1429.6,315.98,148.97,-723.49,189.99,47.449
10,0.09,-1366.9,357.36,146.98,-1145.8,384.2,515.33,-1114.9,435.77,627.8,-1268.3,322,53.072,-1050.3,217.68,992.95,-662.46,133.5,78.902,,,,-1317.3,410.64,246.35,,,,-816.3,48.723,568.04,-543.1,153.84,84.6,-776.11,100.73,490.37,-697.55,80.855,192.38,-1422.5,316.6,155.48,-716.67,190.54,47.43
11,0.1,-1359.3,357.72,150.87,-1127.4,385.51,512.63,-1097.4,436.17,625.78,-1267.6,321.35,51.943,-1033,217.31,991.99,-655.86,134.73,76.602,,,,-1307,411.26,248.59,,,,-796.92,48.17,568.46,-536.92,156.68,76.966,-757.09,100.22,490.32,-685.43,81.928,191.1,-1413.8,317.2,162.6,-711.84,190.83,47.705
12,0.11,-1350.4,358.06,155.2,-1107.4,386.89,509.58,-1078.6,436.63,623.36,-1266.6,320.73,51.024,-1015.7,217.01,991.5,-650.8,135.81,74.496,,,,-1295.2,411.93,250.9,,,,-778.06,47.484,569.16,-532.34,159.38,69.754,-738.65,99.584,490.49,-674.52,82.873,190.03,-1403.5,317.77,170.32,-708.63,190.89,48.23
13,0.12,-1339.8,358.38,160.06,-1085.9,388.29,506.25,-1058.5,437.11,620.55,-1264.9,320.29,50.561,-998.39,216.77,991.46,-647.03,136.72,72.642,,,,-1281.7,412.63,253.33,,,,-759.91,46.681,570.07,-529.04,161.82,63.321,-721,98.828,490.83,-664.79,83.652,189.14,-1391.4,318.26,178.64,-706.68,190.74,48.951
14,0.13,-1327.6,358.69,165.54,-1062.8,389.65,502.68,-1037.1,437.57,617.36,-1262.3,320.12,50.822,-981.15,216.56,991.86,-644.29,137.43,71.075,,,,-1266.5,413.32,255.97,,,,-742.64,45.78,571.14,-526.77,163.88,57.916,-704.32,97.964,491.26,-656.25,84.237,188.43,-1377.5,318.65,187.53,-705.64,190.41,49.804
15,0.14,-1313.7,358.98,171.69,-1038.3,390.93,498.98,-1014.4,437.98,613.85,-1258.2,320.36,52.058,-963.97,216.37,992.67,-642.36,137.95,69.807,,,,-1249.6,413.97,258.91,,,,-726.41,44.803,572.32,-525.26,165.52,53.671,-688.81,97.007,491.74,-648.88,84.61,187.86,-1361.7,318.9,196.92,-705.22,189.96,50.722
16,0.15,-1298.1,359.25,178.53,-1012.3,392.08,495.24,-990.62,438.3,610.11,-1252.3,321.07,54.466,-946.9,216.18,993.88,-641.06,138.28,68.831,,,,-1230.9,414.54,262.25,,,,-711.32,43.775,573.55,-524.32,166.72,50.599,-674.58,95.978,492.22,-642.66,84.766,187.39,-1344.1,318.98,206.74,-705.18,189.41,51.643
17,0.16,-1280.6,359.47,186.03,-985.09,393.04,491.59,-965.77,438.5,606.25,-1244.2,322.29,58.153,-929.96,215.98,995.45,-640.21,138.43,68.125,,,,-1210.5,414.99,266.04,-752.94,355.2,941.67,-697.45,42.723,574.8,-523.77,167.49,48.614,-661.75,94.902,492.65,-637.56,84.711,187.01,-1324.8,318.87,216.83,-705.33,188.81,52.513
18,0.17,-1261.4,359.65,194.1,-956.66,393.8,488.14,-940,438.53,602.39,-1233.3,324,63.11,-913.18,215.75,997.35,-639.66,138.42,67.655,,,,-1188.5,415.3,270.32,-736.83,354.58,944.55,-684.83,41.673,576.03,-523.49,167.89,47.552,-650.36,93.807,493.03,-633.51,84.464,186.69,-1303.8,318.55,227.03,-705.54,188.19,53.291
19,0.18,-1240.5,359.76,202.59,-927.19,394.33,485.02,-913.48,438.39,598.7,-1219.3,326.1,69.201,-896.57,215.48,999.54,-639.32,138.3,67.385,,,,-1164.9,415.45,275.07,-720.86,353.95,947.46,-673.46,40.655,577.23,-523.38,167.98,47.207,-640.39,92.722,493.33,-630.44,84.054,186.42,-1281.3,318.04,237.14,-705.71,187.59,53.955
20,0.19,-1217.7,359.82,211.25,-896.85,394.6,482.36,-886.36,438.06,595.32,-1202,328.45,76.169,-880.17,215.16,1002,-639.09,138.09,67.28,,,,-1139.8,415.43,280.21,-705.02,353.3,950.41,-663.28,39.693,578.39,-523.35,167.84,47.36,-631.8,91.678,493.56,-628.25,83.516,186.2,-1257.3,317.36,246.9,-705.8,187.03,54.498
21,0.2,-1193.3,359.83,219.83,-865.8,394.62,480.26,-858.83,437.55,592.41,-1181.3,330.86,83.659,-863.99,214.78,1004.7,-638.9,137.82,67.31,,,,-1113.3,415.26,285.6,-689.33,352.64,953.38,-654.2,38.814,579.5,-523.37,167.57,47.804,-624.5,90.704,493.74,-626.8,82.889,186.03,-1232,316.58,256.05,-705.79,186.51,54.933
